headword,pronunciation,part_of_speech,inflections,definition,translation_ro,translation_en,translation_fr,etymology,context,examples,expressions,related_terms,source,source_url
a1,,,,"{ro: la, a, ca pentru, etc.}","la, a, ca pentru, etc.","at, as, etc.","au, à l’, à la, aux, etc.",,,"sã ncljinarã a (la) cicioari; filigenj tri a beari yin; chinsirã si s-ducã a (tri) beari; hai, niveastã, a (la) primnari; s-duc a (la, s-facã) zbor; ãlj bati a (ca) vearã; anjurzeashti a (ca) primuvearã; bãtea a (ca) yiu; nu bãtea dip a (ca) yiu; anjurzeashti a (ca) om",pãnã s-cadã mpadi di-avursiri),,,https://www.dixionline.net/index.php?inputWord=a1
a2,,articul,,,,,,,,"un oclju a meu, ocljilj a mei; perlu a luplui, doi peri a cãnilui; unã casã a voastrã, casili a voastri; trei erghi a loclui, erghili a loclui; dintsãlj a luchilor, capitili a boilor; lilicea a Pindului; shi tu formili al, ali, (a-lù, a-li) tu zboarã ca: ocljul al cal, ocljilj al cal; unglja al cal, ungljili al cal; dintili ali eapã, dintsãlj ali eapã; narea ali eapã, nãrili ali eapã",,,,https://www.dixionline.net/index.php?inputWord=a2
a3,,,,"{ro: mă!, măi!, bă!, hei!, fă!; haide, etc.}","mă!, măi!, bă!, hei!, fă!; haide, etc.","heigh!, hey, you!, say!, look here!, etc.; let’s go!, etc.","hé!, hola!, etc.; allons, etc.",,,"am tsi dzãtsi, a! (bre!) om?; a (bre!) om, nu fã siri; voi, a! (vre!) muntsã; a, voi sots, a, voi mãrats; a lea, nji nchisii; a (aidi), nã featã, trã surtseali (multi ori s-leagã cu lea, vea, tra s-facã zboarãli a-lea/alea, a-vea/avea, etc.)",,,,https://www.dixionline.net/index.php?inputWord=a3
a4,,,,{ro: forma scurtă de la particula “va” cu care se face viitorul},forma scurtă de la particula “va” cu care se face viitorul,short form of the particle “va” used to make the future,forme courte de la particule “va” qui sert à former le futur,,,eu cu mortu-a s-mi mãrit; nu-a s-avdã-a lui fluearã,,,,https://www.dixionline.net/index.php?inputWord=a4
aaaa1,,,,,rom,e1,f1,Context: Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,,,,Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,https://www.dixionline.net/index.php?inputWord=a1
abagi,,sm,,,,,,,,,,,,https://www.dixionline.net/index.php?inputWord=abã
abagirii/abagirie,,,,,,,,,,,,,,https://www.dixionline.net/index.php?inputWord=abã
abagiu,,,,,abagiu - comerciant de aba,,,,,,,,Dictsiunar Armãn-Romãn,https://www.dixionline.net/index.php?inputWord=abã
abagiu,,sm,,,,,,,,,,,,https://www.dixionline.net/index.php?inputWord=abã
abanozi,,,,,abanos,,,,,,,,Dictsiunar Armãn-Romãn,https://www.dixionline.net/index.php?inputWord=abã
abanozi,,sm,,{ro: abanos},abanos,ebony,ébène,,,bãstuni di abanozi,,banozi,,https://www.dixionline.net/index.php?inputWord=abã
abat,,,,"{ro: abate, da la o parte, face loc}","abate, da la o parte, face loc","make place, distance himself, divert, deviate","(se) rabattre, (s’)écarter, faire place, dévier",,,picurarlu abati (li dutsi altã parti) oili; picurarlu s-,,abatiri/abatire,,https://www.dixionline.net/index.php?inputWord=abã
abatiri/abatire,,,,,,,,,,,,,,https://www.dixionline.net/index.php?inputWord=abã
abatu,,,,,"abate, v",,,,,,,,Dictsiunar Armãn-Romãn,https://www.dixionline.net/index.php?inputWord=abã
abâ,,,,,aba - stofă groasă,,,,,,,,Dictsiunar Armãn-Romãn,https://www.dixionline.net/index.php?inputWord=abã
abã,a-bắ,sm,,{ro: aba},aba,"frieze, rough homespun, rough material (of wool)","aba, bure, drap",,,,,abagi; abagi-rii/abagirie,,https://www.dixionline.net/index.php?inputWord=abã
abãnos,a-bã-nósŭ,sm,,,,,,,,,,,,https://www.dixionline.net/index.php?inputWord=abã
abãteari/abãteare,,,,,,,,,,,,,,https://www.dixionline.net/index.php?inputWord=abã
abãtut,a-bã-tútŭ,,,,,,,,,,,,,https://www.dixionline.net/index.php?inputWord=abã
acamã,,,,,,,,,,,,,,https://www.dixionline.net/index.php?inputWord=a1
acasã,,,,,,,,,,,,,,https://www.dixionline.net/index.php?inputWord=a1
